Episode, Reward, Steps, Loss, Entropy
369.0000,15.0000,15.0000,7.8608,0.6449
370.0000,11.0000,11.0000,10.6118,0.5981
371.0000,12.0000,12.0000,8.9285,0.5768
372.0000,44.0000,44.0000,3.2324,0.6373
373.0000,14.0000,14.0000,7.1769,0.6071
374.0000,16.0000,16.0000,6.2877,0.5548
375.0000,10.0000,10.0000,9.0640,0.5562
376.0000,14.0000,14.0000,6.6093,0.5763
377.0000,16.0000,16.0000,5.5144,0.5430
378.0000,25.0000,25.0000,3.8155,0.5654
379.0000,13.0000,13.0000,6.5143,0.5202
380.0000,10.0000,10.0000,7.2396,0.5215
381.0000,14.0000,14.0000,5.2573,0.5523
382.0000,11.0000,11.0000,5.8303,0.5177
383.0000,14.0000,14.0000,4.2278,0.5254
384.0000,20.0000,20.0000,5.6279,0.5621
385.0000,15.0000,15.0000,3.8041,0.5690
386.0000,13.0000,13.0000,4.7071,0.5564
387.0000,13.0000,13.0000,5.0121,0.5511
388.0000,22.0000,22.0000,2.4351,0.5094
389.0000,27.0000,27.0000,2.8030,0.5994
390.0000,9.0000,9.0000,5.1193,0.5282
391.0000,22.0000,22.0000,4.9257,0.6210
392.0000,12.0000,12.0000,3.5800,0.5785
393.0000,12.0000,12.0000,2.6257,0.5209
394.0000,13.0000,13.0000,5.5918,0.5965
395.0000,16.0000,16.0000,3.8947,0.6293
396.0000,8.0000,8.0000,3.5946,0.5436
397.0000,16.0000,16.0000,2.4367,0.5948
398.0000,12.0000,12.0000,1.2932,0.5472
399.0000,16.0000,16.0000,9.1431,0.5615
400.0000,16.0000,16.0000,2.5065,0.6121
401.0000,18.0000,18.0000,2.1870,0.6070
402.0000,10.0000,10.0000,2.3951,0.5886
403.0000,34.0000,34.0000,1.4416,0.6015
404.0000,16.0000,16.0000,5.0064,0.6612
405.0000,26.0000,26.0000,3.0507,0.6273
406.0000,15.0000,15.0000,1.3173,0.6215
407.0000,11.0000,11.0000,2.9290,0.6122
408.0000,41.0000,41.0000,2.5221,0.6717
409.0000,42.0000,42.0000,4.6267,0.6587
410.0000,10.0000,10.0000,3.6350,0.6657
411.0000,21.0000,21.0000,7.7949,0.6131
412.0000,16.0000,16.0000,1.0901,0.6428
413.0000,47.0000,47.0000,4.0092,0.6515
414.0000,31.0000,31.0000,1.5628,0.6719
415.0000,44.0000,44.0000,4.5451,0.6666
416.0000,11.0000,11.0000,0.9750,0.6616
417.0000,65.0000,65.0000,1.9837,0.6787
