Episode, Reward, Steps, Loss, Entropy
288.0000,500.0000,500.0000,0.4728,0.5479
289.0000,500.0000,500.0000,0.4728,0.5479
290.0000,500.0000,500.0000,0.6246,0.5378
291.0000,500.0000,500.0000,0.6246,0.5378
292.0000,500.0000,500.0000,0.6246,0.5378
293.0000,500.0000,500.0000,0.6246,0.5378
294.0000,500.0000,500.0000,0.6246,0.5378
295.0000,500.0000,500.0000,0.5095,0.5382
296.0000,500.0000,500.0000,0.5095,0.5382
297.0000,500.0000,500.0000,0.5095,0.5382
298.0000,500.0000,500.0000,0.5095,0.5382
299.0000,500.0000,500.0000,0.5095,0.5382
300.0000,500.0000,500.0000,0.4356,0.5488
301.0000,500.0000,500.0000,0.4356,0.5488
302.0000,500.0000,500.0000,0.4356,0.5488
303.0000,500.0000,500.0000,0.4356,0.5488
304.0000,500.0000,500.0000,0.4356,0.5488
305.0000,500.0000,500.0000,0.3838,0.5484
306.0000,500.0000,500.0000,0.3838,0.5484
307.0000,500.0000,500.0000,0.3838,0.5484
308.0000,500.0000,500.0000,0.3838,0.5484
309.0000,500.0000,500.0000,0.3838,0.5484
310.0000,500.0000,500.0000,0.4449,0.5476
311.0000,500.0000,500.0000,0.4449,0.5476
312.0000,500.0000,500.0000,0.4449,0.5476
313.0000,500.0000,500.0000,0.4449,0.5476
314.0000,500.0000,500.0000,0.4449,0.5476
315.0000,500.0000,500.0000,0.5310,0.5450
316.0000,500.0000,500.0000,0.5310,0.5450
317.0000,500.0000,500.0000,0.5310,0.5450
318.0000,500.0000,500.0000,0.5310,0.5450
319.0000,500.0000,500.0000,0.5310,0.5450
320.0000,500.0000,500.0000,0.6423,0.5544
321.0000,500.0000,500.0000,0.6423,0.5544
322.0000,500.0000,500.0000,0.6423,0.5544
323.0000,500.0000,500.0000,0.6423,0.5544
324.0000,500.0000,500.0000,0.6423,0.5544
325.0000,500.0000,500.0000,0.4601,0.5519
326.0000,500.0000,500.0000,0.4601,0.5519
327.0000,500.0000,500.0000,0.4601,0.5519
328.0000,500.0000,500.0000,0.4601,0.5519
329.0000,500.0000,500.0000,0.4601,0.5519
330.0000,500.0000,500.0000,0.2615,0.5475
331.0000,500.0000,500.0000,0.2615,0.5475
332.0000,500.0000,500.0000,0.2615,0.5475
333.0000,500.0000,500.0000,0.2615,0.5475
334.0000,500.0000,500.0000,0.2615,0.5475
335.0000,162.0000,162.0000,0.2907,0.5581
336.0000,500.0000,500.0000,0.2907,0.5581
337.0000,500.0000,500.0000,0.2907,0.5581
338.0000,500.0000,500.0000,0.2907,0.5581
339.0000,500.0000,500.0000,0.2907,0.5581
340.0000,500.0000,500.0000,0.5233,0.5531
341.0000,500.0000,500.0000,0.5233,0.5531
342.0000,500.0000,500.0000,0.5233,0.5531
343.0000,500.0000,500.0000,0.5233,0.5531
344.0000,500.0000,500.0000,0.5233,0.5531
345.0000,500.0000,500.0000,0.3548,0.5496
346.0000,378.0000,378.0000,0.3548,0.5496
347.0000,367.0000,367.0000,0.3548,0.5496
348.0000,500.0000,500.0000,0.3548,0.5496
349.0000,500.0000,500.0000,0.3548,0.5496
350.0000,456.0000,456.0000,0.1549,0.5506
351.0000,500.0000,500.0000,0.1549,0.5506
352.0000,344.0000,344.0000,0.1549,0.5506
353.0000,500.0000,500.0000,0.1549,0.5506
354.0000,396.0000,396.0000,0.1549,0.5506
355.0000,500.0000,500.0000,0.2559,0.5440
356.0000,500.0000,500.0000,0.2559,0.5440
357.0000,500.0000,500.0000,0.2559,0.5440
358.0000,500.0000,500.0000,0.2559,0.5440
359.0000,500.0000,500.0000,0.2559,0.5440
360.0000,500.0000,500.0000,0.5849,0.5366
361.0000,500.0000,500.0000,0.5849,0.5366
362.0000,500.0000,500.0000,0.5849,0.5366
363.0000,500.0000,500.0000,0.5849,0.5366
364.0000,500.0000,500.0000,0.5849,0.5366
