Episode, Reward, Steps, Loss, Entropy
406.0000,99.0000,99.0000,-4.2918,0.4931
407.0000,96.0000,96.0000,-2.3090,0.5367
408.0000,95.0000,95.0000,-8.5824,0.4989
409.0000,86.0000,86.0000,-4.5128,0.4987
410.0000,81.0000,81.0000,0.0591,0.4676
411.0000,114.0000,114.0000,2.2130,0.5327
412.0000,106.0000,106.0000,-0.4933,0.5102
413.0000,135.0000,135.0000,0.6406,0.4907
414.0000,118.0000,118.0000,3.2881,0.5206
415.0000,130.0000,130.0000,-2.1015,0.5256
416.0000,146.0000,146.0000,-8.7349,0.5250
417.0000,136.0000,136.0000,-1.8820,0.5219
418.0000,129.0000,129.0000,3.3296,0.4829
419.0000,193.0000,193.0000,1.7887,0.4926
420.0000,147.0000,147.0000,-3.6392,0.4881
421.0000,243.0000,243.0000,1.5792,0.5012
422.0000,187.0000,187.0000,2.9390,0.5031
423.0000,153.0000,153.0000,0.2699,0.5122
424.0000,198.0000,198.0000,3.6777,0.4949
425.0000,138.0000,138.0000,-2.0116,0.5315
426.0000,199.0000,199.0000,2.5271,0.5121
427.0000,189.0000,189.0000,3.3432,0.5121
428.0000,227.0000,227.0000,1.0241,0.5069
429.0000,182.0000,182.0000,-2.3497,0.5147
430.0000,171.0000,171.0000,-1.6386,0.5290
431.0000,149.0000,149.0000,0.8086,0.5408
432.0000,227.0000,227.0000,0.9086,0.5062
433.0000,212.0000,212.0000,-11.5623,0.4805
434.0000,229.0000,229.0000,-2.4393,0.5103
435.0000,166.0000,166.0000,1.0814,0.4890
436.0000,152.0000,152.0000,0.6195,0.5203
437.0000,193.0000,193.0000,0.4162,0.5393
438.0000,176.0000,176.0000,2.1338,0.5065
439.0000,162.0000,162.0000,-0.6881,0.5396
440.0000,143.0000,143.0000,-6.3212,0.5364
441.0000,137.0000,137.0000,-3.3031,0.5507
442.0000,181.0000,181.0000,-7.4445,0.5407
443.0000,128.0000,128.0000,-3.2965,0.5210
444.0000,156.0000,156.0000,-1.7289,0.5311
445.0000,225.0000,225.0000,-4.4605,0.5255
446.0000,166.0000,166.0000,-6.0448,0.5352
447.0000,121.0000,121.0000,-0.1566,0.5522
448.0000,143.0000,143.0000,-0.0573,0.5320
449.0000,131.0000,131.0000,-2.7917,0.5068
450.0000,122.0000,122.0000,-1.5294,0.5194
451.0000,154.0000,154.0000,0.4479,0.5316
452.0000,220.0000,220.0000,-13.8645,0.4948
453.0000,184.0000,184.0000,-5.4140,0.5177
454.0000,292.0000,292.0000,-10.1902,0.5258
455.0000,253.0000,253.0000,5.0211,0.5137
456.0000,239.0000,239.0000,0.0784,0.5204
457.0000,149.0000,149.0000,-4.4839,0.5176
458.0000,179.0000,179.0000,-6.1800,0.5230
459.0000,150.0000,150.0000,-0.8466,0.5291
460.0000,218.0000,218.0000,-1.1198,0.4959
461.0000,185.0000,185.0000,-3.4478,0.5059
462.0000,378.0000,378.0000,1.1140,0.5117
463.0000,137.0000,137.0000,5.5057,0.4940
464.0000,184.0000,184.0000,-2.2490,0.5332
465.0000,275.0000,275.0000,-9.6441,0.5037
466.0000,132.0000,132.0000,-1.4871,0.5283
467.0000,210.0000,210.0000,-3.9942,0.5023
468.0000,251.0000,251.0000,7.4597,0.5133
469.0000,137.0000,137.0000,-2.0685,0.5437
470.0000,127.0000,127.0000,4.5734,0.5016
471.0000,264.0000,264.0000,1.9859,0.5287
472.0000,200.0000,200.0000,7.3862,0.5148
473.0000,175.0000,175.0000,4.2511,0.5224
474.0000,199.0000,199.0000,-6.1654,0.5265
475.0000,167.0000,167.0000,-9.3244,0.5462
476.0000,166.0000,166.0000,-0.7226,0.5392
477.0000,218.0000,218.0000,-1.7906,0.5319
478.0000,192.0000,192.0000,-5.9027,0.5491
479.0000,165.0000,165.0000,-6.6165,0.5775
480.0000,161.0000,161.0000,-2.6066,0.5119
481.0000,227.0000,227.0000,-3.3768,0.5395
482.0000,172.0000,172.0000,-4.3087,0.5400
483.0000,200.0000,200.0000,-0.9430,0.5255
484.0000,370.0000,370.0000,-2.3651,0.5264
485.0000,196.0000,196.0000,-8.9871,0.5278
486.0000,237.0000,237.0000,-4.2227,0.5471
487.0000,496.0000,496.0000,5.4835,0.5243
488.0000,239.0000,239.0000,-7.1944,0.5262
489.0000,500.0000,500.0000,2.3091,0.5268
490.0000,317.0000,317.0000,-11.0765,0.5203
491.0000,269.0000,269.0000,9.2038,0.5112
492.0000,432.0000,432.0000,-7.9205,0.5444
493.0000,370.0000,370.0000,-0.2137,0.5298
494.0000,500.0000,500.0000,2.4655,0.5232
495.0000,427.0000,427.0000,4.8377,0.5391
496.0000,463.0000,463.0000,-11.4834,0.5373
497.0000,258.0000,258.0000,-4.6859,0.5212
498.0000,401.0000,401.0000,-8.4228,0.5292
499.0000,461.0000,461.0000,-14.9754,0.5587
500.0000,500.0000,500.0000,6.3377,0.5379
501.0000,212.0000,212.0000,-6.6331,0.5554
502.0000,315.0000,315.0000,-0.7650,0.5457
503.0000,500.0000,500.0000,2.9119,0.5219
504.0000,313.0000,313.0000,-0.7331,0.5620
505.0000,336.0000,336.0000,-4.4444,0.5646
506.0000,359.0000,359.0000,-9.9164,0.5267
507.0000,266.0000,266.0000,-12.4045,0.5332
508.0000,413.0000,413.0000,-6.0847,0.5548
509.0000,462.0000,462.0000,-13.2997,0.5520
510.0000,326.0000,326.0000,-8.4024,0.5526
511.0000,436.0000,436.0000,-9.7596,0.5212
512.0000,500.0000,500.0000,-1.8417,0.5424
513.0000,325.0000,325.0000,-9.2464,0.5675
514.0000,328.0000,328.0000,-6.4046,0.5434
515.0000,313.0000,313.0000,-1.8769,0.5651
516.0000,443.0000,443.0000,-4.8968,0.5600
517.0000,500.0000,500.0000,-0.6420,0.5384
518.0000,500.0000,500.0000,-16.0379,0.5370
